n,p_n,g_n,ln_p,ln2_p,R_n
59,171231342421327,806,32.774036637770955,1074.137477533953,0.7503694981860669
60,218209405437449,906,33.01647629306146,1090.0877068102893,0.831125784044525
61,1189459969826399,916,34.71227579216405,1204.9420906712583,0.7602025085618079
62,1686994940956727,924,35.061725199629905,1229.3245739743627,0.7516322536470095
63,1693182318747503,1132,35.065386182014,1229.5813080937785,0.9206385885573856
64,43841547845542243,1184,38.319358343622945,1468.3732238669854,0.8063345073004778
65,55350776431904441,1198,38.55246708164363,1486.2927180812155,0.806032341695519
66,80873624627236069,1220,38.931664141432414,1515.6744728212946,0.8049221794499695
67,203986478517457213,1224,39.856830104781,1588.5669060013768,0.7705057907072749
68,218034721194215521,1248,39.923430716550506,1593.8803201792084,0.7829947984172869
69,305405826521089141,1272,40.2604178658403,1620.901246732073,0.7847486098024177
70,352521223451365651,1328,40.403887223723224,1632.4741027873447,0.8134891682094836
71,401429925999155063,1356,40.53380938255259,1642.9897030611085,0.8253247098710306
72,418032645936713497,1370,40.574335924712834,1646.2767357314424,0.8321808662328619
73,804212830686679111,1442,41.2286403438433,1699.8007846019837,0.8483347066683765
74,1425172824437700887,1476,41.800824760566734,1747.3089506636088,0.8447275448565815
75,5733241593241198219,1488,43.19281276773724,1865.619074788805,0.7975904728399323
76,6787988999657779307,1510,43.3616864007063,1880.2358475131975,0.8030907409818444
77,15570628755536097769,1526,44.19191804142409,1952.9256201799437,0.7813917663998865
78,17678654157568190587,1530,44.31888960589538,1964.1639758995414,0.7789573674974339
79,18361375334787048247,1550,44.356780965581734,1967.524017628594,0.7877921621857379
80,18470057946260699783,1552,44.3626826054169,1968.0476079489592,0.7885988091606424
81,18571673432051831671,1572,44.36816916000896,1968.5344346111704,0.7985636280274189
82,20733746510561444539,1676,44.47829431293341,1978.3186649879242,0.8471840404994766
